Model,Split,MAE,MSE,RMSE
XGB,Train,56.54238394004937,46586.63880959084,215.83938197092493
XGB,Validation,61.3960382882233,88322.61337680389,297.1912067622524
XGB,Test,59.62132077632988,58552.40855072582,241.9760495394654
RandomForest,Train,74.23223425246528,145462.10417993114,381.3949451420812
RandomForest,Validation,75.8574986186619,103283.55525559747,321.3775898465814
RandomForest,Test,74.24142047165316,83748.89485969656,289.3940131718287
